Personal;Professional
Аккуратность;Уровень образования
Активность;Специальность, квалификация
Амбициозность;Опыт работы, должности, которые занимал
Бесконфликтность;Производительность труда
Быстрая реакция;Аналитические способности
Вежливость;Быстрая адаптация к новым информационным системам
Внимательность;Быстрая обучаемость
Дисциплинированность;Внимание к деталям
Инициативность;Гибкость мышления
Исполнительность;Готовность к сверхурочной работе
Коммуникабельность;Грамотность
Максимализм;Математический склад ума
Настойчивость;Навыки взаимодействия с клиентами
Находчивость;Навыки делового общения
Обаяние;Навыки планирования
Организованность;Навыки подготовки докладов
Ответственный подход к работе;Ораторские способности
Порядочность;Организаторские способности
Преданность;Предприимчивость
Принципиальность;Профессиональная честность
Пунктуальность;Скрупулезность
Решительность;Способность заниматься несколькими проектами одновременно
Самоконтроль;Способность быстро принимать решения
Самокритичность;Способность работать с большим количеством информации
Самостоятельность;Стратегическое мышление
Скромность;Стремление к самосовершенствованию
Стрессоустойчивость;Творческое мышление
Тактичность;Умение вести переговоры/деловую переписку
Терпеливость;Умение договариваться
Требовательность;Умение излагать мысли
Трудолюбие;Умение находить общий язык
Уверенность в себе;Умение обучать
Уравновешенность;Умение работать в команде
Целеустремленность;Умение располагать людей к себе
Честность;Умение убеждать
Энергичность;Хорошие внешние данные
Энтузиазм;Хорошая дикция
Этичность;Хорошая физическая форма
