Social;;Intellectual;;Will;;Leadership;
Communications;3;Analytical mind;2;Determination;2;Teambuilding;1
Non-verbal communication;1;Problem localization;3;Patience;3;Strategic planning;1
Speaking;2;Memory;2;Productivity;2;Coaching;2
Writing;2;Agile mind;2;Stress proof;2;Mentoring;3
Storytelling;3;Critical thinking;3;Organization;3;Delegation of authority;1
Listening;2;Creativity;2;Time management;2;Conflict solving;2
Sense of humor;2;Learning;2;Ability to meet deadlines;2;Diplomacy;2
Emotional intelligence;2;Self development;3;Punctuality;2;Conducting complex negotiations;2
Self presentation;2;Artistic taste;1;Methodicalness;2;Decision making;1
Public speech;1;Large wealth of information analysis;2;Reliability;3;Responsibility;3
Teamworking;1;Entrepreneurial thinking;2;Seriousness;2;Ability to manage in a crisis situation;1
Flexibility;2;Report writing;2;Honesty;3;Ability to inspire;3
Criticism acception;1;Versatile knowledge;2;Energy;2;Ability to motivate;3
Self confidence;2;Multitasking;2;Persistence;1;Persuasiveness;3
Friendliness;3;Curiosity;2;Ability to follow instructions;1;Ability to control work;3
Self control;2;Observation;2;Result-oriented;3;Insistence;2
Positive attunement;2;Attention to detail;3;Ability to work under pressure;1;Initiative;2
Ability to emphatize;1;Large-scale thinking;3;Independence;1;Ability to take risks;1
Business etiquette;2;;;Discipline;2;;
Tolerance;1;;;Sense of duty;1;;
Knowledge of national peculiarities;1;;;Willingness to do routine work;1;;
Appearance;2;;;;;;
